artist,album,release_date,ratings
Marie Davidson,Adieux Au Dancefloor,15/10/2016,8
Purling Hiss,High Bias,15/10/2016,6.8
Johnny Jewel,Home OST,14/10/2016,6
The Shaggs,Philosophy of the World,14/10/2016,8.6
Pat Thomas,Coming Home (Original Ghanaian Highlife & Afrobeat Classics 1967-1981),14/10/2016,7.2
Dusky,Outer,14/10/2016,5.7
Big Star,Complete Third,13/10/2016,9.5
Swet Shop Boys,Cashmere,13/10/2016,7.4
Youandewan,There Is No Right Time,13/10/2016,7.6
Emma Ruth Rundle,Marked for Death,13/10/2016,7.4
Conor Oberst,Ruminations,12/10/2016,7.5
Joyce Manor,Cody,12/10/2016,7.7
Banks,The Altar,12/10/2016,5.1
DVA [Hi:Emotions],NOTU_URONLINEU,12/10/2016,7.1
Hiss Golden Messenger,Heart Like a Levee,11/10/2016,8.2
Norah Jones,Day Breaks,11/10/2016,6.9
G Perico,Shit Don't Stop,11/10/2016,7.5
BROOKZILL!,Throwback to the Future,11/10/2016,6.2
Green Day,Revolution Radio,10/10/2016,5.1
GOAT,Requiem,10/10/2016,7.3
MV & EE,Root/Void,10/10/2016,7.3
Gatecreeper,Sonoran Depravation,10/10/2016,7.5
Candiria,While They Were Sleeping,10/10/2016,7.2
Janet Jackson,Rhythm Nation 1814,09/10/2016,9
Oasis,Be Here Now,08/10/2016,5.3
Helado Negro,Private Energy,08/10/2016,8.1
DJ Mustard,Cold Summer,08/10/2016,6.9
Opeth,Sorceress,08/10/2016,6.7
Moses Sumney,Lamentations,07/10/2016,7.4
Phish,Big Boat,07/10/2016,5.3
Phantogram,Three,07/10/2016,5.8
The Caretaker,Everywhere at the End of Time,07/10/2016,7.3
Pixies,Head Carrier,06/10/2016,5.5
Francis and the Lights,"Farewell, Starlite!",06/10/2016,6.4
Neurosis,Fires Within Fires,06/10/2016,7.1
Yves Tumor,Serpent Music,06/10/2016,7.3
Solange,A Seat at the Table,05/10/2016,8.7
Balance and Composure,Light We Made,05/10/2016,6.8
Supersilent,13,05/10/2016,7
Bruce Haack,The Electric Lucifer,05/10/2016,7.6
Jenny Hval,Blood Bitch,04/10/2016,8.3
Jack Rose,Dr. Ragtime and His Pals,04/10/2016,7.4
Luisa Maita,Fio da Memoria,04/10/2016,7.7
Oathbreaker,Rheia,04/10/2016,7.8
Aaron Abernathy,Monologue,04/10/2016,7.2
Danny Brown,Atrocity Exhibition,03/10/2016,8.5
Innanet James,Quebec Place,03/10/2016,7.5
Darcy James Argue's Secret Society,Real Enemies,03/10/2016,8.3
Masayoshi Fujita,Schaum,03/10/2016,7.9
Guided by Voices,Alien Lanes,02/10/2016,9.2
Bob Weir,Blue Mountain,01/10/2016,7.5
S U R V I V E,RR7349,01/10/2016,7.4
Steve Reich,The ECM Recordings,01/10/2016,9
Carl Stone,Electronic Music From the Seventies and Eighties,01/10/2016,6.7
Bon Iver,"22, A Million",30/09/2016,9
Mike & Rich,Expert Knob Twiddlers,30/09/2016,6.6
Thomas Brinkmann,A Certain Degree of Stasis,30/09/2016,7.8
Psychic TV,Alienist,30/09/2016,7
Nicolas Jaar,Sirens,29/09/2016,8.7
Warpaint,Heads Up,29/09/2016,6.7
Moor Mother,Fetish Bones,29/09/2016,8.2
Blonde Redhead,Masculin Feminin,29/09/2016,7.3
Mick Jenkins,The Healing Component,28/09/2016,7.6
Ty Dolla $ign,Campaign,28/09/2016,6.9
Flock of Dimes,"If You See Me, Say Yes",28/09/2016,7
LVL UP,Return to Love,28/09/2016,7.3
Devendra Banhart,Ape in Pink Marble,27/09/2016,6.6
Machinedrum,Human Energy,27/09/2016,7.3
Chinx,Legends Never Die,27/09/2016,6
Itasca,Open to Chance,27/09/2016,7.8
How to Dress Well,Care,26/09/2016,6.8
Fleetwood Mac,Mirage,26/09/2016,8.5
Merchandise,A Corpse Wired for Sound,26/09/2016,7.4
Beach Slang,A Loud Bash of Teenage Feelings,26/09/2016,7.3
AlunaGeorge,I Remember,26/09/2016,6.6
Erykah Badu,Mama's Gun,25/09/2016,9.4
Against Me!,Shape Shift With Me,24/09/2016,7.4
The Gaslamp Killer,Instrumentalepathy,24/09/2016,7.7
Crooked Man,Crooked Man,24/09/2016,7.8
Eola,Dang,24/09/2016,6.8
Hamilton Leithauser,I Had a Dream That You Were Mine,23/09/2016,8.3
Local Natives,Sunlit Youth,23/09/2016,6.3
Biosphere,Departed Glories,23/09/2016,7.6
Mykki Blanco,Mykki,23/09/2016,7.7
Bruce Springsteen,Chapter and Verse,22/09/2016,7.5
Die Antwoord,Mount Ninji and Da Nice Time Kid,22/09/2016,6.1
Dyke Drama,Up Against the Bricks,22/09/2016,7.1
A Tribe Called Red,We Are the Halluci Nation,22/09/2016,8.1
Usher,Hard II Love,21/09/2016,6.6
Pallbearer,Fear and Fury,21/09/2016,7.4
Kool Keith,Feature Magnetic,21/09/2016,7.5
Randy Newman,The Randy Newman Songbook,21/09/2016,7.5
Led Zeppelin,The Complete BBC Sessions,20/09/2016,8.2
Various Artist,Imaginational Anthem Vol. 8 : The Private Press,20/09/2016,7.5
Grumbling Fur,Furfour,20/09/2016,7.6
Croatian Amor,Love Means Taking Action,20/09/2016,7
Preoccupations,Preoccupations,19/09/2016,7.9
Robert Glasper Experiment,ArtScience,19/09/2016,7.6
Mndsgn,Body Wash,19/09/2016,7.7
Sumerlands,Sumerlands,19/09/2016,8
Brian Eno,Another Green World,18/09/2016,10
Mac Miller,The Divine Feminine,17/09/2016,7.8
Julius Eastman,Femenine,17/09/2016,8.9
Bryce Dessner,Transpecos OST,17/09/2016,7
DJ Fresh,The Tonite Show,17/09/2016,7.4
Cymbals Eat Guitars,Pretty Years,16/09/2016,8
Touche Amore,Stage Four,16/09/2016,8.1
Silver Apples,Clinging to a Dream,16/09/2016,7.1
Matthew Shipp,Cactus,16/09/2016,7.6
Kaitlyn Aurelia Smith,Sunergy,15/09/2016,8.4
Fudge,Lady Parts,15/09/2016,6.8
Wrekmeister Harmonies,Light Falls,15/09/2016,7.7
Tim Presley,The Wink,15/09/2016,7.8
Nick Cave & the Bad Seeds,Skeleton Tree,14/09/2016,9
Manuel Gottsching,E2-E4,14/09/2016,9.2
Cristian Vogel,The Assitenz,14/09/2016,7.4
El Perro Del Mar,KoKoro,14/09/2016,7.1
M.I.A.,AIM,13/09/2016,5.9
Neil Young,Time Fades Away,13/09/2016,9.1
Johann Johannsson,Orphee,13/09/2016,7.5
Various Artist,Desconstrucao,13/09/2016,8.3
Jack White,Acoustic Recordings 1998-2006,12/09/2016,8
Steve Buscemi,Rub Out the Word,12/09/2016,4.6
Alpha 606,Afro-Cuban Electronics,12/09/2016,6.5
Adam Torres,Pearls to Swine,12/09/2016,7.5
Vox Clamantis,Arvo Part: The Deer's Cry,12/09/2016,7.4
Caetano Veloso,Caetano Veloso,11/09/2016,9.4
Angelo Badalamenti,Twin Peaks OST,10/09/2016,9
Okkervil River,Away,10/09/2016,7
Banks & Steelz,Anything But Words,10/09/2016,4.4
Lisa/Liza,Deserts of Youth,10/09/2016,8
Wilco,Schmilco,09/09/2016,7
Daniel Lanois,Goodbye to Language,09/09/2016,8.1
Drugdealer,The End of Comedy,09/09/2016,7.4
James Vincent McMorrow,We Move,09/09/2016,7.3
Travis Scott,Birds in the Trap Sing McKnight,08/09/2016,7.2
P.S. Eliot,2007-2011,08/09/2016,8.2
Carly Rae Jepsen,E*MO*TION Side B,08/09/2016,7.1
inc. no world,As Light as Light,08/09/2016,6.8
Isaiah Rashad,The Sun's Tirade,07/09/2016,8.1
Eluvium,False Readings On,07/09/2016,7
Circle,Circle 1: Live in Germany Concert,07/09/2016,8.1
Bibio,The Serious EP,07/09/2016,6
Zomby,Ultra,06/09/2016,7.9
Teenage Fanclub,Here,06/09/2016,7.8
clipping.,Splendor & Misery,06/09/2016,5.3
Yohuna,Patientness,06/09/2016,7.2
Terry Riley,A Rainbow in Curved Air,04/09/2016,9.1
De La Soul,and the Anonymous Nobody...,03/09/2016,6.4
Mekons,Existentialism,03/09/2016,7.5
Nots,Cosmetic,03/09/2016,7.8
D.A.R.K.,Science Agrees,03/09/2016,6.2
Angel Olsen,My Woman,02/09/2016,8.8
Junior Boys,Kiss Me All Night EP,02/09/2016,7.3
serpentwithfeet,blisters EP,02/09/2016,8
William Basinski,92982,02/09/2016,8.7
Young Thug,JEFFERY,01/09/2016,8.5
Prince,"One Nite Alone, The Aftershow: It Ain't Over!",01/09/2016,8.6
Soundwalk Collective,Killer Road,01/09/2016,6.6
Funk Factory,Funk Factory,01/09/2016,7.3
Prophets of Rage,The Party's Over EP,31/08/2016,2
The Beach Boys,Becoming the Beach Boys: The Complete Hite & Dorinda Morgan Sessions,31/08/2016,5.3
Jon Hopkins,Opalescent,31/08/2016,5.6
The Dead C,Trouble,31/08/2016,7.3
Vince Staples,Prima Donna,30/08/2016,8
Crystal Castles,Amnesty (I),30/08/2016,6.8
Porches,Water EP,30/08/2016,7.5
Nathan Bowles,Whole & Cloven,30/08/2016,7.5
Cass McCombs,Mangy Love,29/08/2016,8.1
Gucci Mane,GucTiggy EP,29/08/2016,6.5
SubRosa,For this We Fought the Battle of Ages,29/08/2016,8.2
Motion Graphics,Motion Graphics,29/08/2016,8
The Roots,Things Fall Apart,28/08/2016,9.4
Katy Goodman,"Take It, It's Yours",27/08/2016,6.7
Kornel Kovacs,The Bells,27/08/2016,7.7
Controlled Bleeding,Larva Lumps and Baby Bumps,27/08/2016,7.4
Cassius,Ibifornia,26/08/2016,5.9
Red Pill,Instinctive Drowning,26/08/2016,6.5
Feral,Nexus,26/08/2016,7.4
Carl Broemel,4th of July,26/08/2016,6.3
Frank Ocean,Blonde,25/08/2016,9
Various Artist,Atomic Bomb Compilation Vol. 4,25/08/2016,7.7
Peter Broderick,Partners,25/08/2016,7.6
Battle Trance,Blade of Love,25/08/2016,7.5
Tory Lanez,I Told You,24/08/2016,6.3
Brendan Canning,Home Wrecking Years,24/08/2016,5
Charlotte Day Wilson,CDW EP,24/08/2016,7.8
Tokyo Black Star,"""Fantasy Live 1999""",24/08/2016,7.6
Sharon Jones and the Dap-Kings,Miss Sharon Jones!,23/08/2016,7
Tree,I.B. Tree,23/08/2016,7.7
Mild High Club,Skiptracing,23/08/2016,6.8
Marielle V. Jakobsons,Star Core,23/08/2016,7.8
Scott Walker,The Childhood of a Leader OST,22/08/2016,7.9
Scott Hirsch,Blue Rider Songs,22/08/2016,8
Morgan Delt,Phase Zero,22/08/2016,6.8
Steve Lehman,Selebeyone,22/08/2016,8.1
Stevie Wonder,Songs in the Key of Life,21/08/2016,10
Ka,Honor Killed the Samurai,20/08/2016,8
Atticus Ross,Almost Holy OST,20/08/2016,7.2
Jefre Cantu-Ledesma,In Summer,20/08/2016,8
Rattle,Rattle,20/08/2016,5
DJ Earl,Open Your Eyes,19/08/2016,6.9
Sonic Youth,Spinhead Sessions,19/08/2016,6.4
Various Artist,Radiating Light: Orchid Tapes & Friends,19/08/2016,6.7
The Grifters,Crappin' You Negative,19/08/2016,7.9
Gonjasufi,Callus,18/08/2016,7.6
Atmosphere,Fishing Blues,18/08/2016,5.6
Fury,Paramount,18/08/2016,8
Hockey Dad,Boronia,18/08/2016,5.6
Kyle Dixon,"Stranger Things OST, Vol. One",17/08/2016,8
Kool A.D.,Official,17/08/2016,6.4
Lexxi,5TARB01,17/08/2016,8
Alex Cameron,Jumping the Shark,17/08/2016,7.8
Various Artist,The Get Down OST,16/08/2016,6.2
PARTYNEXTDOOR,PARTYNEXTDOOR 3 (P3),16/08/2016,7.4
Pill,Convenience,16/08/2016,7.9
Mal Devisa,Kiid,16/08/2016,8.1
Lando Chill,"For Mark, Your Son",16/08/2016,6
Rae Sremmurd,SremmLife 2,15/08/2016,7.6
Slow Club,One Day All of This Won't Matter Any More,15/08/2016,7.4
Roosevelt,Roosevelt,15/08/2016,7
Various Artist,More Better Days,15/08/2016,8.3
PJ Harvey,Dry,14/08/2016,9.2
2 Chainz,Daniel Son ; Necklace Don,13/08/2016,7.7
The Chills,Kaleidoscope World,13/08/2016,8.2
Ryley Walker,Golden Sings That Have Been Sung,13/08/2016,6.5
The 7th Plain,Chronicles 1,13/08/2016,7.2
Thee Oh Sees,A Weird Exits,12/08/2016,7.5
Toro Y Moi,Live from Trona,12/08/2016,6.8
Factory Floor,25 25,12/08/2016,6
theMIND,Summer Camp,12/08/2016,7
Of Montreal,Innocence Reaches,11/08/2016,6.3
DJ Snake,Encore,11/08/2016,5.3
Elvis Presley,Way Down in the Jungle Room,11/08/2016,7
Roman Flugel,Verschiebung,11/08/2016,6.8
Various Artist,The Land OST,10/08/2016,6.1
M. Geddes Gengras,Interior Architecture,10/08/2016,7
Jon Bap,What Now?,10/08/2016,6.5
Katie Dey,Flood Network,10/08/2016,7.8
Various Artist,Suicide Squad: The Album,09/08/2016,4
Various Artist,Start Your Own Fucking Show Space,09/08/2016,7.8
Zhu,Generationwhy,09/08/2016,4.8
TOBACCO,Sweatbox Dynasty,09/08/2016,6.7
Kllo,Well Worn,09/08/2016,6.5
Wild Beasts,Boy King,08/08/2016,6.8
Noname,Telefone,08/08/2016,8
Michal Turtle,Phantoms of Dreamland,08/08/2016,7.9
Cluster Ensemble,Cluster Ensemble: Plays Philip Glass,08/08/2016,8.3
Michael Jackson,Dangerous,07/08/2016,8.6
Sunny Day Real Estate,How It Feels to Be Something On,06/08/2016,8.8
Cam & China,Cam & China,06/08/2016,8
Nels Cline,Lovers,06/08/2016,7.6
Panopticon,Revisions of the Past,06/08/2016,7
DJ Khaled,Major Key,05/08/2016,6.9
Trim,1-800 DINOSAUR Presents Trim,05/08/2016,6
Delia Derbyshire,Circle of Light,05/08/2016,7.2
Rival Consoles,Night Melody,05/08/2016,8
Descendents,Hypercaffium Spazzinate,04/08/2016,7.3
Lil Uzi Vert,The Perfect Luv Tape,04/08/2016,6.9
Haley Bonar,Impossible Dream,04/08/2016,6.8
Blowout,"No Beer, No Dad",04/08/2016,6.8
Dinosaur Jr.,Give a Glimpse of What Yer Not,03/08/2016,7.5
Delroy Edwards,Hangin' At the Beach,03/08/2016,7.5
Thunder Tillman,Jaguar Mirror,03/08/2016,7.7
Cheena,Spend the Night With...,03/08/2016,6.9
Nao,For All We Know,02/08/2016,7.9
Steve Aoki,4OKI,02/08/2016,2.5
Shy Layers,Shy Layers,02/08/2016,8.2
Owen,The King of Whys,02/08/2016,7.2
Titus Andronicus,S+@dium Rock: Five Nights at the Opera,01/08/2016,7
Hieroglyphic Being,The Disco's of Imhotep,01/08/2016,8
Meshuggah,Meshuggah EP,01/08/2016,4
Metronome,Take Down,01/08/2016,8.3
Mary Lattimore,Music Inspired by Philippe Garrel's Le Revelateur,01/08/2016,6.9
Red Hot Chili Peppers,Blood Sugar Sex Magik,31/07/2016,7.1
Nina Simone,In Concert,30/07/2016,10
Various Artist,Sky Girl,30/07/2016,8.2
No Joy,Drool Sucker,30/07/2016,6.8
Psalm Zero,Stranger to Violence,30/07/2016,6.4
Elza Soares,A Mulher do Fim do Mundo (The Woman at the End of the World),29/07/2016,8.4
William S. Burroughs,Let Me Hang You,29/07/2016,5.8
STWO,D.T.S.N.T.,29/07/2016,6.3
Frankie Reyes,Boleros Valses y Mas,29/07/2016,6.8
Jeremih,Late Nights: Europe,28/07/2016,7.8
Lil Durk,Lil Durk 2X,28/07/2016,7.7
Lori McKenna,The Bird & the Rifle,28/07/2016,7.6
Tristan Perich,Noise Patterns,28/07/2016,8
Lil Yachty,Summer Songs 2,27/07/2016,6.1
Russian Circles,Guidance,27/07/2016,7.5
Florian Kupfer,Unfinished,27/07/2016,7
Hammers of Misfortune,Dead Revolution,27/07/2016,7.8
Gucci Mane,Everybody Looking,26/07/2016,7
Gap Dream,This Is Gap Dream,26/07/2016,5.2
Shy Glizzy,Young Jefe 2,26/07/2016,7.1
Big Business,Command Your Weather,26/07/2016,7.6
Snoop Dogg,Coolaid,25/07/2016,5.8
Blu,Titans in the Flesh,25/07/2016,7.2
Michael Kiwanuka,Love & Hate,25/07/2016,6.9
Notekillers,Songs and Jams Vol. 1,25/07/2016,8.2
Various Artist,Sound Signature Presents: These Songs That Should've Been Out on Wax By Now - Part One,25/07/2016,7.4
De La Soul,Buhloone Mindstate,24/07/2016,9.1
21 Savage,Savage Mode,23/07/2016,7
Wymond Miles,Call by Night,23/07/2016,7.5
The Amazing,Ambulance,23/07/2016,7
Jherek Bischoff,Cistern,23/07/2016,6.8
Floating Points,Kuiper,22/07/2016,7.3
Z-Ro,Drankin' & Drivin',22/07/2016,7.2
Various Artist,Gqom Oh! x Crudo Volta Mixtape,22/07/2016,7
Pauline Oliveros,Four Meditations / Sound Geometries,22/07/2016,7.4
Jamila Woods,HEAVN,21/07/2016,8.4
Dreezy,No Hard Feelings,21/07/2016,7.7
Max Romeo,Horror Zone,21/07/2016,8
Johnny Foreigner,Mono No Aware,21/07/2016,7.9
Ian William Craig,Centres,20/07/2016,8.2
Abra,PRINCESS,20/07/2016,6.2
Towkio,Community Service 2!,20/07/2016,6.5
Wreck and Reference,Indifferent Rivers Romance End,20/07/2016,8
BADBADNOTGOOD,IV,19/07/2016,7.1
MSTRKRFT,Operator,19/07/2016,6.5
Pylon,Pylon Live,19/07/2016,8
Wolfgang Tillmans,2016 / 1986,19/07/2016,6.9
Clams Casino,32 Levels,18/07/2016,6.9
Elysia Crampton,Elysia Crampton Presents: Demon City,18/07/2016,8.2
Camp Cope,Camp Cope,18/07/2016,8
Shackleton,Devotional Songs,18/07/2016,7.2
Konx-om-Pax,Caramel,18/07/2016,7.4
Fleetwood Mac,Tusk,17/07/2016,9.2
The Julie Ruin,Hit Reset,16/07/2016,8.2
Migos,3 Way,16/07/2016,6.5
Mark Barrott,Sketches from an Island 2,16/07/2016,8
Various Artist,Eleven into Fifteen: a 130701 Compilation,16/07/2016,7.5
Shura,Nothing's Real,15/07/2016,7.7
Betty Davis,The Columbia Years 1968-69,15/07/2016,6.8
Kel Valhaal,New Introductory Lectures on the System of Transcendental Qabala,15/07/2016,3.5
Jackmaster,DJ-Kicks,15/07/2016,7.5
Schoolboy Q,Blank Face LP,14/07/2016,8.3
Darkstar,Made To Measure,14/07/2016,6.8
Trust Punks,Double Bind,14/07/2016,6.9
Tangents,Stateless,14/07/2016,7.8
Arca,Entranas,13/07/2016,8.1
Lindstrom,Windings,13/07/2016,7.7
Martha,Blisters in the Pit of My Heart,13/07/2016,7.3
John Roberts,Plum,13/07/2016,6.9
Maxwell,blackSUMMERS'night,12/07/2016,8.4
Kelsey Lu,Church EP,12/07/2016,7.6
Eric Copeland,Black Bubblegum,12/07/2016,7
Gone Is Gone,Gone is Gone,12/07/2016,5.3
Vivien Goldman,Resolutionary (Songs 1979-1982),11/07/2016,8.5
Roisin Murphy,Take Her Up To Monto,11/07/2016,7.8
AraabMuzik,Dreamworld,11/07/2016,6.1
GOGGS,GOGGS,11/07/2016,7.4
Roy Wood$,Waking at Dawn,11/07/2016,6
Lauryn Hill,The Miseducation of Lauryn Hill,10/07/2016,9.5
Metronomy,Summer 08,09/07/2016,7.2
Scharpling & Wurster,Scharpling & Wurster Live at Third Man Records,09/07/2016,7.8
Marisa Anderson,Into the Light,09/07/2016,7.9
Steven Julien,Fallen,09/07/2016,7.1
The Avalanches,Wildflower,08/07/2016,8.5
Nite-Funk,Nite-Funk,08/07/2016,7.8
Nils Frahm,Ellis,08/07/2016,6.3
Gojira,Magma,08/07/2016,7.6
Aphex Twin,Cheetah,07/07/2016,8.2
Inter Arma,Paradise Gallows,07/07/2016,8
The Game,Streets of Compton,07/07/2016,6.3
Hot Hot Heat,Hot Hot Heat,07/07/2016,5.1
Blink-182,California,06/07/2016,5.5
Magic!,Primary Colors,06/07/2016,3.5
Weaves,Weaves,06/07/2016,6.8
Egisto Macchi,Biologia Animale E Vegetale,06/07/2016,6.9
Bat for Lashes,The Bride,05/07/2016,7.6
Mick Harvey,Delirium Tremens,05/07/2016,7.3
Alice Bag,Alice Bag,05/07/2016,7.5
Stephen Steinbrink,Anagrams,05/07/2016,7
Pulp,Different Class,03/07/2016,9.3
Desiigner,New English,02/07/2016,4.7
Nice as Fuck,Nice As Fuck,02/07/2016,6.6
Look Mexico,Uniola,02/07/2016,7.4
SunPath,Dream Music,02/07/2016,7.6
Future,Project E.T. Esco Terrestrial,01/07/2016,6.8
James Ferraro,Human Story 3,01/07/2016,5
Puro Instinct,Autodrama,01/07/2016,6.4
David Toop,Entities Inertias Faint Beings,01/07/2016,7.5
Blood Orange,Freetown Sound,30/06/2016,8.8
River Tiber,Indigo,30/06/2016,7.8
Let's Eat Grandma,"I, Gemini",30/06/2016,7.3
Lungfish,Sound in Time,30/06/2016,7.4
Jim O'Rourke,It's Hard for Me To Say I'm Sorry,29/06/2016,7.1
Deerhoof,The Magic,29/06/2016,6.9
Told Slant,Going By,29/06/2016,7.4
Amy Klein,Fire,29/06/2016,4.9
Bruce Springsteen,"The Christic Shows, November 16 & 17, 1990",28/06/2016,8.5
Blut Aus Nord,Codex Obscura Nomina,28/06/2016,7.4
Caveman,Otero War,28/06/2016,5.2
Bjarki,"""B""",28/06/2016,5.8
Suicide,Suicide,27/06/2016,9.1
The Avett Brothers,True Sadness,27/06/2016,3.8
Delorean,Muzik,27/06/2016,5
Yumi Zouma,Yoncalla,27/06/2016,7.4
Jay Arner,Jay II,27/06/2016,7
Neil Young,Tonight's the Night,26/06/2016,10
DJ Shadow,The Mountain Will Fall,25/06/2016,6.6
Grace Jones,Warm Leatherette,25/06/2016,8.5
John Cage,John Cage Meets Sun Ra: The Complete Concert,25/06/2016,7.5
Allen Toussaint,American Tunes,25/06/2016,7.2
G.L.O.S.S.,Trans Day of Revenge,24/06/2016,8.5
Laura Mvula,The Dreaming Room,24/06/2016,7.8
Odonis Odonis,Post Plague,24/06/2016,7.9
Saqqara Mastabas,Libras,24/06/2016,6.4
Disclosure,Moog for Love,23/06/2016,6
Wye Oak,Tween,23/06/2016,8
Sui Zhen,Secretly Susan,23/06/2016,7.8
The Gotobeds,Blood // Sugar // Secs // Traffic,23/06/2016,5.6
Mitski,Puberty 2,22/06/2016,8.5
Bishop Nehru,Magic 19,22/06/2016,5.9
Brigid Mae Power,Brigid Mae Power,22/06/2016,7.5
RLYR,Delayer,22/06/2016,7
Swans,The Glowing Man,21/06/2016,8.1
YG,Still Brazy,21/06/2016,8
Todd Terje,The Big Cover-Up,21/06/2016,6.9
Ro James,ELDORADO,21/06/2016,6.5
Red Hot Chili Peppers,The Getaway,20/06/2016,5.4
Palmistry,PAGAN,20/06/2016,5
Will Butler,Friday Night,20/06/2016,6.7
Vatican Shadow,Media in the Service of Terror,20/06/2016,7.7
Weval,Weval,20/06/2016,8
George Harrison,All Things Must Pass,19/06/2016,9
case/lang/veirs,case/lang/veirs,18/06/2016,8.2
Yung,A Youthful Dream,18/06/2016,6.5
Kodak Black,Lil B.I.G. Pac,18/06/2016,7.2
Nails,You Will Never Be One of Us,18/06/2016,7.8
Neil Young,EARTH,17/06/2016,6.5
Jake Bugg,On My One,17/06/2016,3
The Fall,Dragnet,17/06/2016,8.7
Audion,Alpha,17/06/2016,6.1
Van Morrison,"It's Too Late to Stop Now... Volumes II, III, IV & DVD",16/06/2016,8.8
Nick Jonas,Last Year Was Complicated,16/06/2016,6.3
Nite Jewel,Liquid Cool,16/06/2016,6.2
Laraaji,Professional Sunflow,16/06/2016,6.8
Waxahatchee,Early Recordings,15/06/2016,7.2
Dan Lissvik,Midnight,15/06/2016,6.9
Mozzy,Mandatory Check,15/06/2016,6.8
Diarrhea Planet,Turn To Gold,15/06/2016,6.4
Band of Horses,Why Are You OK,14/06/2016,6
The Temper Trap,Thick as Thieves,14/06/2016,5.7
Jackie Lynn,Jackie Lynn,14/06/2016,6.9
Nate Wooley,Argonautica,14/06/2016,7.7
Air,Twentyears,13/06/2016,5.6
Huerco S.,For Those Of You Who Have Never (And Also Those Who Have),13/06/2016,8.1
Plaid,The Digging Remedy,13/06/2016,6.5
Holger Czukay,Movie!,13/06/2016,8
Sumac,What One Becomes,13/06/2016,7.8
Kate Bush,Hounds of Love,12/06/2016,10
Cornelius,Fantasma (Reissue),11/06/2016,8.8
Alexis Taylor,Piano,11/06/2016,7.1
Ladyhawke,Wild Things,11/06/2016,5.7
Fear of Men,Fall Forever,11/06/2016,6.7
Garbage,Strange Little Birds,10/06/2016,7
Speedy Ortiz,Foiled Again,10/06/2016,7.2
Floorplan,Victorious,10/06/2016,6.8
Margaret Glaspy,Emotions and Math,10/06/2016,7.7
Vic Mensa,There's Alot Going On EP,09/06/2016,7.5
Paul Simon,Stranger to Stranger,09/06/2016,7.2
Peter Bjorn and John,Breakin' Point,09/06/2016,5.7
Terry Reid,The Other Side of the River,09/06/2016,8.4
Tegan and Sara,Love You to Death,08/06/2016,7.1
Various Artist,Blonde on Blonde Revisited,08/06/2016,7.6
Mourn,"Ha, Ha, He.",08/06/2016,6
Xenia Rubinos,Black Terry Cat,08/06/2016,8
The Strokes,Future Present Past EP,07/06/2016,6
The Kills,Ash & Ice,07/06/2016,6.2
Lone,Levitate,07/06/2016,7.6
White Zombie,It Came From N.Y.C.,07/06/2016,8.1
Whitney,Light Upon the Lake,06/06/2016,8.3
Big Thief,Masterpiece,06/06/2016,7.7
Melvins,Basses Loaded,06/06/2016,5.5
Moonface,My Best Human Face,06/06/2016,5.9
Payroll Giovanni,Big Bossin Vol. 1,06/06/2016,8
Slum Village,The Fan-Tas-Tic Box: A Jay-Dee Production Boxset,04/06/2016,8.5
Steve Gunn,Eyes on the Lines,04/06/2016,8
The Wailers,The Wailing Wailers,04/06/2016,8
Cough,Still They Pray,04/06/2016,7.6
Joey Purp,iiiDrops,03/06/2016,8.2
Fifth Harmony,Jul-27,03/06/2016,6.2
Dam-Funk,DJ-Kicks,03/06/2016,7.7
Seiho,Collapse,03/06/2016,7.4
Flume,Skin,02/06/2016,6.4
William Tyler,Modern Country,02/06/2016,8
Die Antwoord,Suck on This,02/06/2016,5
Jank,Awkward Pop Songs,02/06/2016,7.9
Mark Kozelek,Mark Kozelek Sings Favorites,01/06/2016,5.5
Holy Fuck,Congrats,01/06/2016,6.6
Sepalcure,Folding Time,01/06/2016,6
