artist,album,metascore,userscore,release_date
Lana Del Rey,Lust for Life,77,7.8,"Jul 21, 2017"
Dizzee Rascal,Raskit,78,6.9,"Jul 21, 2017"
Goldfinger,The Knife,82,tbd,"Jul 21, 2017"
John Murry,A Short History of Decay,77,tbd,"Jul 21, 2017"
"Tyler, The Creator",Flower Boy,84,8.7,"Jul 21, 2017"
Paul Heaton,Crooked Calypso,76,tbd,"Jul 21, 2017"
Dan Croll,Emerging Adulthood,57,tbd,"Jul 21, 2017"
Karen Gwyer,Rembo,81,tbd,"Jul 21, 2017"
Meek Mill,Wins and Losses,72,6.3,"Jul 21, 2017"
Laibach,Also Sprach Zarathustra,80,tbd,"Jul 14, 2017"
Shabazz Palaces,Quazarz vs. The Jealous Machines,77,7.2,"Jul 14, 2017"
BNQT,Volume 1,76,7.1,"Apr 28, 2017"
Sylvan Esso,What Now,75,7.5,"Apr 28, 2017"
Feist,Pleasure,80,8.0,"Apr 28, 2017"
Gorillaz,Humanz,77,7.0,"Apr 28, 2017"
Thurston Moore,Rock N Roll Consciousness,78,7.7,"Apr 28, 2017"
Mark Mulcahy,The Possum in the Driveway,75,tbd,"Apr 28, 2017"
Ryuichi Sakamoto,async,85,7.7,"Apr 28, 2017"
Mew,Visuals,74,7.2,"Apr 28, 2017"
Colin Stetson,All This I Do for Glory,80,7.8,"Apr 28, 2017"
John Mellencamp,Sad Clowns & Hillbillies,77,tbd,"Apr 28, 2017"
Jeff Rosenstock,POST-,88,7.9,"Mar 23, 2018"
Jack White,Boarding House Reach,74,7.2,"Mar 23, 2018"
Guided by Voices,Space Gun,77,tbd,"Mar 23, 2018"
Sunflower Bean,Twentytwo in Blue,78,7.5,"Mar 23, 2018"
Cavern of Anti-Matter,Hormone Lemonade,76,tbd,"Mar 23, 2018"
Courtney Marie Andrews,May Your Kindness Remain,79,tbd,"Mar 23, 2018"
Preoccupations,New Material,72,7.8,"Mar 23, 2018"
Waxahatchee,Out in the Storm,80,7.9,"Jul 14, 2017"
Shabazz Palaces,Quazarz: Born on a Gangster Star,77,7.5,"Jul 14, 2017"
Sheer Mag,Need to Feel Your Love,83,7.9,"Jul 14, 2017"
Lucy Rose,Something's Changing,68,tbd,"Jul 14, 2017"
Mura Masa,Mura Masa,78,7.6,"Jul 14, 2017"
Offa Rex,The Queen of Hearts,81,tbd,"Jul 14, 2017"
Japanese Breakfast,Soft Sounds From Another Planet,83,8.0,"Jul 14, 2017"
Willie Nelson,God's Problem Child,79,8.3,"Apr 28, 2017"
Little Cub,Still Life,77,tbd,"Apr 28, 2017"
Mary J. Blige,Strength of a Woman,74,8.0,"Apr 28, 2017"
The New Year,Snow,79,7.3,"Apr 28, 2017"
Wilsen,I Go Missing in My Sleep,72,tbd,"Apr 28, 2017"
New Found Glory,Makes Me Sick,67,8.1,"Apr 28, 2017"
Pinegrove,Everything So Far,74,tbd,"Apr 28, 2017"
Juliana Hatfield,Pussycat,84,7.0,"Apr 28, 2017"
Terror,The Walls Will Fall [EP],81,tbd,"Apr 28, 2017"
WALL,Untitled,78,tbd,"Apr 28, 2017"
Wale,Shine,65,4.4,"Apr 28, 2017"
Bonny Doon,Longwave,68,tbd,"Mar 23, 2018"
George Ezra,Staying at Tamara's,65,8.2,"Mar 23, 2018"
Baloji,137 Avenue Kaniama,81,tbd,"Mar 23, 2018"
The Sword,Used Future,66,tbd,"Mar 23, 2018"
Lissie,Castles,65,7.8,"Mar 23, 2018"
Toni Braxton,Sex & Cigarettes,73,8.4,"Mar 23, 2018"
Holger Czukay,Cinema [Box Set],93,tbd,"Mar 23, 2018"
Miles Davis,"The Final Tour: The Bootleg Series, Vol. 6 [Box Set]",88,tbd,"Mar 23, 2018"
Entourage,Ceremony of Dreams: Studio Sessions and Outtakes 1972-1977 [Box Set],87,tbd,"Mar 23, 2018"
Alasdair Roberts,What News,88,tbd,"Mar 23, 2018"
Boris,Dear,77,tbd,"Jul 14, 2017"
Oh Wonder,Ultralife,61,7.6,"Jul 14, 2017"
Lo Tom,Lo Tom,71,tbd,"Jul 14, 2017"
The Dears,"Times Infinity, Vol. 2",62,tbd,"Jul 14, 2017"
Integrity,"Howling, For the Nightmare Shall Consume",82,tbd,"Jul 14, 2017"
Silverstein,Dead Reflection,57,7.4,"Jul 14, 2017"
French Montana,Jungle Rules,68,6.5,"Jul 14, 2017"
Coldplay,Kaleidoscope EP,63,6.9,"Jul 14, 2017"
Art Feynman,Blast Off Through the Wicker,70,tbd,"Jul 14, 2017"
The Pollyseeds,"The Sounds of Crenshaw, Vol. 1",81,tbd,"Jul 14, 2017"
Quindar,Hip Mobility,76,tbd,"Jul 14, 2017"
Los Angeles Police Department,Los Angeles Police Department,80,tbd,"Apr 28, 2017"
Trombone Shorty,Parking Lot Symphony,70,tbd,"Apr 28, 2017"
Robert Cray,Robert Cray & Hi Rhythm,84,tbd,"Apr 28, 2017"
Sheryl Crow,Be Myself,69,7.6,"Apr 21, 2017"
Gas,Narkopop,86,7.5,"Apr 21, 2017"
Robyn Hitchcock,Robyn Hitchcock,80,7.0,"Apr 21, 2017"
Imelda May,Life. Love. Flesh. Blood,73,tbd,"Apr 21, 2017"
Ray Davies,Americana,80,6.6,"Apr 21, 2017"
Angaleena Presley,Wrangled,83,6.5,"Apr 21, 2017"
Joe Goddard,Electric Lines,71,8.0,"Apr 21, 2017"
The Black Angels,Death Song,75,8.0,"Apr 21, 2017"
The Messthetics,The Messthetics,74,tbd,"Mar 23, 2018"
Dead Meadow,The Nothing They Need,74,tbd,"Mar 16, 2018"
The Magic Gang,The Magic Gang,71,tbd,"Mar 16, 2018"
Creep Show,Mr. Dynamite,75,tbd,"Mar 16, 2018"
The Decemberists,I'll Be Your Girl,69,6.3,"Mar 16, 2018"
Yo La Tengo,There's a Riot Going On,77,7.6,"Mar 16, 2018"
Alan Vega,It,84,tbd,"Jul 14, 2017"
Mike Cooper,Raft,74,tbd,"Jul 14, 2017"
Breakfast Muff,Eurgh!,66,tbd,"Jul 14, 2017"
The Raveonettes,2016 Atomized,79,tbd,"Apr 21, 2017"
Tara Jane O'Neil,Tara Jane O'Neil,82,tbd,"Apr 21, 2017"
Ron Sexsmith,The Last Rider,79,tbd,"Apr 21, 2017"
Woods,Love Is Love,72,tbd,"Apr 21, 2017"
Incubus,8,45,6.7,"Apr 21, 2017"
While She Sleeps,You Are We,84,7.6,"Apr 21, 2017"
Charly Bliss,Guppy,87,7.8,"Apr 21, 2017"
Procol Harum,Novum,69,tbd,"Apr 21, 2017"
Mr. Mitch,Devout,74,tbd,"Apr 21, 2017"
Have Mercy,Make the Best of It,72,tbd,"Apr 21, 2017"
Texas,Jump on Board,52,tbd,"Apr 21, 2017"
Brad Paisley,Love and War,66,tbd,"Apr 21, 2017"
Dungen,Myths 003,73,tbd,"Mar 16, 2018"
Hot Snakes,Jericho Sirens,86,8.5,"Mar 16, 2018"
Essaie Pas,New Path,80,tbd,"Mar 16, 2018"
Mount Eerie,Now Only,82,8.2,"Mar 16, 2018"
Stone Temple Pilots,Stone Temple Pilots [2018],60,7.7,"Mar 16, 2018"
Meshell Ndegeocello,Ventriloquism,80,tbd,"Mar 16, 2018"
The Fratellis,In Your Own Sweet Time,65,8.3,"Mar 16, 2018"
Snoop Dogg,Snoop Dogg Presents Bible of Love,54,4.2,"Mar 16, 2018"
Black Foxxes,Reioi,86,tbd,"Mar 16, 2018"
Dasher,Sodium,75,tbd,"Jul 14, 2017"
Claude Speeed,Infinity Ultra,72,tbd,"Jul 14, 2017"
TERRY,Remember Terry,74,tbd,"Jul 14, 2017"
Toro y Moi,Boo Boo,73,7.8,"Jul  7, 2017"
21 Savage,Issa Album,70,5.4,"Jul  7, 2017"
Melvins,A Walk With Love and Death,69,6.6,"Jul  7, 2017"
Broken Social Scene,Hug of Thunder,76,8.1,"Jul  7, 2017"
HAIM,Something To Tell You,69,7.6,"Jul  7, 2017"
Public Service Broadcasting,Every Valley,77,7.6,"Jul  7, 2017"
This Is the Kit,Moonshine Freeze,78,tbd,"Jul  7, 2017"
Charlie Watts,Charlie Watts Meets the Danish Radio Big Band [Live],77,tbd,"Apr 21, 2017"
Edgar Jones,The Song of Day and Night,77,tbd,"Apr 21, 2017"
Arto Lindsay,Cuidado Madame,77,tbd,"Apr 21, 2017"
Little Dragon,Season High,67,7.2,"Apr 14, 2017"
Actress,AZD,81,7.0,"Apr 14, 2017"
Part Chimp,IV,81,tbd,"Apr 14, 2017"
Sam Outlaw,Tenderheart,65,tbd,"Apr 14, 2017"
Fionn Regan,The Meetings of the Waters,78,tbd,"Apr 14, 2017"
Kendrick Lamar,DAMN.,95,8.4,"Apr 14, 2017"
John Mayer,The Search for Everything,61,7.7,"Apr 14, 2017"
Tinie Tempah,YOUTH,70,6.9,"Apr 14, 2017"
Will Long,Long Trax 2,74,tbd,"Mar 16, 2018"
Caroline Says,No Fool Like an Old Fool,73,tbd,"Mar 16, 2018"
PRhyme,PRhyme 2,74,7.4,"Mar 16, 2018"
Thundercat,Drank,70,tbd,"Mar 16, 2018"
Alva Noto,Unieqav,72,tbd,"Mar 16, 2018"
Garden City Movement,Apollonia,70,tbd,"Mar 16, 2018"
Lil Yachty,Lil Boat 2,53,4.6,"Mar  9, 2018"
David Byrne,American Utopia,71,6.2,"Mar  9, 2018"
The Telescopes,As Light Return,66,tbd,"Jul  7, 2017"
Jupiter & Okwess,Kin Sonic,84,tbd,"Jul  7, 2017"
John Smith,Headlong,69,tbd,"Jul  7, 2017"
Black Grape,Pop Voodoo,70,tbd,"Jul  7, 2017"
Various Artists,Silhouettes and Statues: A Gothic Revolution 1978-1986 [Box Set],80,tbd,"Jul  7, 2017"
Splashh,Waiting a Lifetime,74,tbd,"Apr 14, 2017"
Playboi Carti,Playboi Carti [Mixtape],69,6.9,"Apr 14, 2017"
Lillie Mae,Forever and Then Some,80,tbd,"Apr 14, 2017"
Blaenavon,That's Your Lot,80,tbd,"Apr  7, 2017"
Vanbot,Siberia,67,tbd,"Apr  7, 2017"
Jeb Loy Nichols,Country Hustle,81,tbd,"Apr  7, 2017"
Future Islands,The  Far Field,77,7.5,"Apr  7, 2017"
Wire,Silver/Lead,77,tbd,"Apr  7, 2017"
Graeme Miller,The Moomins [OST],80,tbd,"Apr  7, 2017"
Father John Misty,Pure Comedy,85,7.8,"Apr  7, 2017"
The New Pornographers,Whiteout Conditions,78,7.8,"Apr  7, 2017"
Of Montreal,White Is Relic/Irrealis Mood,69,7.9,"Mar  9, 2018"
Ministry,AmeriKKKant,63,5.0,"Mar  9, 2018"
Between the Buried and Me,Automata I,70,8.3,"Mar  9, 2018"
Young Fathers,Cocoa Sugar,87,8.8,"Mar  9, 2018"
George FitzGerald,All That Must Be,72,8.3,"Mar  9, 2018"
Nathaniel Rateliff & the Night Sweats,Tearing at the Seams,78,tbd,"Mar  9, 2018"
Nap Eyes,I'm Bad Now,77,6.3,"Mar  9, 2018"
Judas Priest,Firepower,77,8.6,"Mar  9, 2018"
Editors,Violence,72,7.0,"Mar  9, 2018"
Jimi Hendrix,Both Sides of the Sky,66,7.7,"Mar  9, 2018"
"Albert Hammond, Jr.",Francis Trouble,73,8.5,"Mar  9, 2018"
Gengahr,Where Wilderness Grows,62,tbd,"Mar  9, 2018"
August Greene,August Greene,72,tbd,"Mar  9, 2018"
Chronixx,Chronology,83,tbd,"Jul  7, 2017"
Jah Wobble's Invaders of the Heart,The Usual Suspects,80,tbd,"Jul  7, 2017"
The Last Dinosaur,The Nothing,84,tbd,"Jul  7, 2017"
Whitehorse,Panther in the Dollhouse,78,tbd,"Jul  7, 2017"
Various Artists,C88 [Box Set],84,tbd,"Jul  7, 2017"
The Acacia Strain,Gravebloom,62,tbd,"Jun 30, 2017"
Public Enemy,Nothing Is Quick In The Desert,71,7.7,"Jun 30, 2017"
Stone Sour,Hydrograd,73,7.5,"Jun 30, 2017"
Peter Perrett,How the West Was Won,81,tbd,"Jun 30, 2017"
Washed Out,Mister Mellow,70,7.4,"Jun 30, 2017"
James Elkington,Wintres Woma,79,tbd,"Jun 30, 2017"
Jay-Z,4:44,82,7.1,"Jun 30, 2017"
Floating Points,Reflections: Mojave Desert,76,7.3,"Jun 30, 2017"
TLC,TLC,63,5.8,"Jun 30, 2017"
Moose Blood,I Don't Think I Can Do This Anymore,65,tbd,"Mar  9, 2018"
Eric Chenaux,Slowly Paradise,81,tbd,"Mar  9, 2018"
Erasure,World Beyond,60,tbd,"Mar  9, 2018"
Oneida,Romance,80,tbd,"Mar  9, 2018"
The Neighbourhood,The Neighbourhood,62,6.6,"Mar  9, 2018"
Haley Heynderickx,I Need To Start a Garden,80,tbd,"Mar  9, 2018"
Park Jiha,Communion,78,tbd,"Mar  9, 2018"
Ty,A Work Of Heart,68,tbd,"Mar  2, 2018"
Richard Youngs,Belief,84,tbd,"Mar  2, 2018"
Moby,"Everything Was Beautiful, And Nothing Hurt",75,6.6,"Mar  2, 2018"
Moaning,Moaning,68,6.0,"Mar  2, 2018"
Superorganism,Superorganism,73,8.1,"Mar  2, 2018"
Beach House,B-Sides and Rarities,75,7.9,"Jun 30, 2017"
Lapalux,Ruinism,80,7.7,"Jun 30, 2017"
Ratboys,GN,77,tbd,"Jun 30, 2017"
LANY,LANY,66,7.1,"Jun 30, 2017"
Moon Diagrams,Lifetime of Love,67,tbd,"Jun 30, 2017"
Baio,Man of the World,69,tbd,"Jun 30, 2017"
Calvin Harris,"Funk Wav Bounces, Vol. 1",70,7.5,"Jun 30, 2017"
Bill Orcutt,Bill Orcutt,80,tbd,"Jun 30, 2017"
The Beach Boys,1967: Sunshine Tomorrow,80,tbd,"Jun 30, 2017"
Karl Hyde,Fatherland (Original Music from the Stage Show),84,tbd,"Jun 30, 2017"
Buffalo Tom,Quiet and Peace,76,tbd,"Mar  2, 2018"
Gwenno,Le Kov,81,8.3,"Mar  2, 2018"
Titus Andronicus,A Productive Cough,68,5.5,"Mar  2, 2018"
Soccer Mommy,Clean,78,8.5,"Mar  2, 2018"
Anna von Hausswolff,Dead Magic,81,8.4,"Mar  2, 2018"
Jonathan Wilson,Rare Birds,74,8.5,"Mar  2, 2018"
Andrew W.K.,You're Not Alone,77,7.9,"Mar  2, 2018"
Jeff Tweedy,Together At Last,74,6.4,"Jun 23, 2017"
Algiers,The Underside of Power,86,7.9,"Jun 23, 2017"
King Gizzard & the Lizard Wizard,Murder of the Universe,73,7.6,"Jun 23, 2017"
Denai Moore,We Used to Bloom,84,tbd,"Jun 23, 2017"
Vince Staples,Big Fish Theory,89,8.2,"Jun 23, 2017"
Imagine Dragons,Evolve,47,6.9,"Jun 23, 2017"
Laurel Halo,Dust,84,7.6,"Jun 23, 2017"
Radiohead,OK Computer: OKNOTOK 1997-2017,100,8.8,"Jun 23, 2017"
Rozwell Kid,Precious Art,80,7.1,"Jun 23, 2017"
Banditos,Visionland,71,tbd,"Jun 23, 2017"
Bedouine,Bedouine,85,7.5,"Jun 23, 2017"
The Breeders,All Nerve,83,7.1,"Mar  2, 2018"
Tracey Thorn,Record,77,6.2,"Mar  2, 2018"
Lucy Dacus,Historian,82,7.9,"Mar  2, 2018"
Suuns,Felt,70,7.3,"Mar  2, 2018"
The Men,Drift,63,6.8,"Mar  2, 2018"
Joan Baez,Whistle Down the Wind,77,tbd,"Mar  2, 2018"
Camp Cope,How to Socialise & Make Friends,82,7.8,"Mar  2, 2018"
Rolo Tomassi,Time Will Die and Love Will Bury It,92,7.3,"Mar  2, 2018"
Seun Kuti & Egypt 80,Black Times,82,tbd,"Mar  2, 2018"
Tory Lanez,MEMORIES DON'T DIE,46,5.1,"Mar  2, 2018"
DJ Taye,Still Trippin',80,tbd,"Mar  2, 2018"
Ed Schrader's Music Beat,Riddles,77,tbd,"Mar  2, 2018"
DJ Khaled,Grateful,61,3.8,"Jun 23, 2017"
EX EYE,EX EYE,83,tbd,"Jun 23, 2017"
Prince and the Revolution,Purple Rain [Deluxe Expanded Edition],100,7.6,"Jun 23, 2017"
Jean-Jacques Perrey,Jean-Jacques Perrey et Son Ondioline,69,tbd,"Jun 23, 2017"
Willie Nile,Positively Bob: Willie Nile Sings Bob Dylan,77,tbd,"Jun 23, 2017"
Gaby Hernandez,Spirit Reflection,76,tbd,"Jun 23, 2017"
Various Artists,Behind the Counter with Max Richter,85,tbd,"Jun 23, 2017"
Circle,Terminal,87,tbd,"Jun 23, 2017"
Color Film,Living Arrangements,66,tbd,"Jun 16, 2017"
E Ruscha V,Who Are You,75,tbd,"Mar  2, 2018"
Turnstile,Time & Space,81,8.0,"Feb 23, 2018"
Femi Kuti,One People One World,71,tbd,"Feb 23, 2018"
Bert Jansch,"A Man I'd Rather Be, (Part 1) [Box Set]",90,tbd,"Feb 23, 2018"
Grant-Lee Phillips,Widdershins,78,tbd,"Feb 23, 2018"
Hailu Mergia,Lala Belu,80,tbd,"Feb 23, 2018"
The Lovely Eggs,This Is Eggland,72,tbd,"Feb 23, 2018"
Public Access T.V.,Street Safari,83,8.1,"Feb 23, 2018"
Insecure Men,Insecure Men,76,tbd,"Feb 23, 2018"
Portugal. The Man,Woodstock,70,7.4,"Jun 16, 2017"
Fleet Foxes,Crack-Up,81,8.2,"Jun 16, 2017"
Beth Ditto,Fake Sugar,74,8.7,"Jun 16, 2017"
Kevin Morby,City Music,80,7.3,"Jun 16, 2017"
Royal Trux,Platinum Tips & Ice-Cream [Live],69,tbd,"Jun 16, 2017"
Ride,Weather Diaries,73,7.5,"Jun 16, 2017"
Michael Nau,Some Twist,71,tbd,"Jun 16, 2017"
Goldie,The Journey Man,65,tbd,"Jun 16, 2017"
Songhoy Blues,Resistance,84,7.0,"Jun 16, 2017"
Jason Isbell And The 400 Unit,The Nashville Sound,82,7.5,"Jun 16, 2017"
Royal Blood,How Did We Get So Dark?,71,7.5,"Jun 16, 2017"
Screaming Females,All at Once,86,7.7,"Feb 23, 2018"
Dedekind Cut,Tahoe,75,tbd,"Feb 23, 2018"
S. Carey,Hundred Acres,68,6.6,"Feb 23, 2018"
The Low Anthem,The Salt Doll Went to Measure the Depth of the Sea,78,tbd,"Feb 23, 2018"
Bert Jansch,"A Man I'd Rather Be, (Part 2) [Box Set]",85,tbd,"Feb 23, 2018"
Sarah Blasko,Depth of Field,84,7.8,"Feb 23, 2018"
Steve Earle & the Dukes,So You Wannabe an Outlaw,75,tbd,"Jun 16, 2017"
Com Truise,Iteration,72,7.8,"Jun 16, 2017"
Lorde,Melodrama,91,8.6,"Jun 16, 2017"
The Drums,Abysmal Thoughts,77,7.1,"Jun 16, 2017"
Matthew Sweet,Tomorrow Forever,77,7.5,"Jun 16, 2017"
Big Boi,BOOMIVERSE,70,7.2,"Jun 16, 2017"
Alison Moyet,Other,80,7.2,"Jun 16, 2017"
Cheap Trick,We're All Alright!,69,7.2,"Jun 16, 2017"
Life,Popular Music,74,tbd,"Jun 16, 2017"
Jefre Cantu-Ledesma,On the Echoing Green,79,tbd,"Jun 16, 2017"
Trevor Sensor,Andy Warhol's Dream,78,tbd,"Jun 16, 2017"
Frigs,Basic Behaviour,77,tbd,"Feb 23, 2018"
Go-Kart Mozart,Mozart's Mini-Mart,83,tbd,"Feb 23, 2018"
Mint Field,Pasar de las Luces,84,7.8,"Feb 23, 2018"
Olden Yolk,Olden Yolk,77,tbd,"Feb 23, 2018"
Lo Moon,Lo Moon,73,8.0,"Feb 23, 2018"
Black Milk,Fever,80,8.0,"Feb 23, 2018"
Keiji Haino,"American Dollar Bill - Keep Facing Sideways, You're Too Hideous To Look at Face On",81,tbd,"Feb 23, 2018"
Lionlimb,Tape Recorder,72,tbd,"Feb 23, 2018"
Darlingside,Extralife,81,tbd,"Feb 23, 2018"
Holly Miranda,Mutual Horse,77,tbd,"Feb 23, 2018"
House and Land,House and Land,83,tbd,"Jun 16, 2017"
Can,The Singles,78,tbd,"Jun 16, 2017"
Umfang,Symbolic Use of Light,83,tbd,"Jun 16, 2017"
Justin Adams,Ribbons,74,tbd,"Jun 16, 2017"
2 Chainz,Pretty Girls Like Trap Music,82,7.3,"Jun 16, 2017"
Young Thug,Beautiful Thugger Girls,84,7.5,"Jun 16, 2017"
Palehound,A  Place I'll Always Go,80,tbd,"Jun 16, 2017"
Dustin Wong,Are Euphoria,77,tbd,"Jun 16, 2017"
Various Artists,Pop Makossa: Invasive Dance Beat of Cameroon,74,tbd,"Jun 16, 2017"
Imarhan,Temet,77,tbd,"Feb 23, 2018"
Nathan Fake,Sunder [EP],83,tbd,"Feb 23, 2018"
The Skull Defekts,The Skull Defekts,76,tbd,"Feb 23, 2018"
Caroline Rose,Loner,84,7.6,"Feb 23, 2018"
A.A.L. (Against All Logic),2012-2017,81,8.6,"Feb 17, 2018"
Thelonious Monk,Les Liaisons Dangereuses 1960,92,7.7,"Jun 16, 2017"
Chain & the Gang,Best of Crime Rock,78,tbd,"Jun 16, 2017"
Steffi,Fabric 94,82,tbd,"Jun 16, 2017"
Alex Chilton,Take Me Home and Make Me Like It,56,tbd,"Jun 16, 2017"
Single Mothers,Our Pleasure,81,tbd,"Jun 16, 2017"
Jason Loewenstein,Spooky Action,74,tbd,"Jun 16, 2017"
Moby & the Void Pacific Choir,More Fast Songs About the Apocalypse,63,tbd,"Jun 16, 2017"
Ekoplekz,Bioprodukt,78,tbd,"Jun 16, 2017"
Big Thief,Capacity,81,8.0,"Jun  9, 2017"
Cigarettes After Sex,Cigarettes After Sex,75,8.3,"Jun  9, 2017"
London Grammar,Truth Is a Beautiful Thing,68,8.3,"Jun  9, 2017"
Phoenix,Ti Amo,70,7.8,"Jun  9, 2017"
Chuck Berry,CHUCK,71,7.2,"Jun  9, 2017"
Lindsey Buckingham,Lindsey Buckingham/Christine McVie,72,7.3,"Jun  9, 2017"
Sufjan Stevens,Planetarium,72,7.7,"Jun  9, 2017"
Katy Perry,Witness,52,6.9,"Jun  9, 2017"
Anathema,The Optimist,80,8.1,"Jun  9, 2017"
All We Are,Sunny Hills,71,tbd,"Jun  9, 2017"
Rise Against,Wolves,76,8.0,"Jun  9, 2017"
Kronos Quartet,Folk Songs,72,tbd,"Jun  9, 2017"
SZA,CTRL,86,8.6,"Jun  9, 2017"
Rancid,Trouble Maker,69,6.2,"Jun  9, 2017"
Gov't Mule,Revolution Come... Revolution Go,84,tbd,"Jun  9, 2017"
Ani DiFranco,Binary,77,tbd,"Jun  9, 2017"
Slow Dancer,In a Mood,72,tbd,"Jun  9, 2017"
INVSN,The Beautiful Stories,74,tbd,"Jun  9, 2017"
Suffocation,...Of the Dark Light,72,tbd,"Jun  9, 2017"
Marika Hackman,I'm Not Your Man,80,7.7,"Jun  2, 2017"
Thea Gilmore,The Counterweight,81,tbd,"Jun  2, 2017"
Alt-J,Relaxer,65,7.0,"Jun  2, 2017"
Dua Lipa,Dua Lipa,72,7.8,"Jun  2, 2017"
Roger Waters,Is This the Life We Really Want?,72,7.5,"Jun  2, 2017"
Darren Hayman,"Thankful Villages, Vol. 2",68,tbd,"Jun  2, 2017"
Dan Auerbach,Waiting on a Song,75,7.3,"Jun  2, 2017"
Saint Etienne,Home Counties,79,7.1,"Jun  2, 2017"
Chastity Belt,I Used to Spend So Much Time Alone,79,7.1,"Jun  2, 2017"
Beach Fossils,Somersault,81,7.8,"Jun  2, 2017"
Ulrika Spacek,Modern English Decoration,71,tbd,"Jun  2, 2017"
Sweet Baboo,Wild Imagination,77,tbd,"Jun  2, 2017"
Ikonika,Distractions,78,tbd,"Jun  2, 2017"
Richard Dawson,Peasant,82,7.8,"Jun  2, 2017"
Cody ChesnuTT,My Love Divine Degree,75,tbd,"Jun  2, 2017"
Pixx,The Age of Anxiety,79,7.7,"Jun  2, 2017"
Alva Noto,Glass,85,tbd,"Feb 16, 2018"
Loma,Loma,81,7.8,"Feb 16, 2018"
Pianos Become the Teeth,Wait For Love,75,7.2,"Feb 16, 2018"
Fischerspooner,Sir,67,7.1,"Feb 16, 2018"
Shannon and the Clams,Onion,81,tbd,"Feb 16, 2018"
Ought,Room Inside the World,81,8.0,"Feb 16, 2018"
Car Seat Headrest,Twin Fantasy,87,8.7,"Feb 16, 2018"
Wild Beasts,Last Night All My Dreams Came True,73,tbd,"Feb 16, 2018"
Superchunk,What a Time to Be Alive,83,8.0,"Feb 16, 2018"
Pete Astor,One for the Ghost,72,tbd,"Feb 16, 2018"
Marlon Williams,Make Way for Love,82,8.4,"Feb 16, 2018"
U.S. Girls,In a Poem Unlimited,87,8.6,"Feb 16, 2018"
The Orielles,Silver Dollar Moment,77,tbd,"Feb 16, 2018"
Belle and Sebastian,"How to Solve Our Human Problems, Pts. 1-3",71,7.8,"Feb 16, 2018"
Everything Is Recorded,Everything Is Recorded by Richard Russell,75,7.0,"Feb 16, 2018"
Laurie Anderson,Landfall,85,7.0,"Feb 16, 2018"
I'm with Her,See You Around,81,tbd,"Feb 16, 2018"
Brandi Carlile,By the Way I Forgive You,79,7.8,"Feb 16, 2018"
Born Ruffians,"Uncle, Duke & The Chief",70,tbd,"Feb 16, 2018"
Rejjie Snow,Dear Annie,79,8.2,"Feb 16, 2018"
American Nightmare,American Nightmare,75,tbd,"Feb 16, 2018"
Geowulf,Great Big Blue,63,tbd,"Feb 16, 2018"
Dabrye,Three/Three,80,tbd,"Feb 16, 2018"
Anenon,Tongue,76,tbd,"Feb 16, 2018"
Ryuichi Sakamoto,async: Remodels,75,tbd,"Feb 16, 2018"
Tal National,Tantabara,84,tbd,"Feb 16, 2018"
Nipsey Hussle,Victory Lap,80,7.8,"Feb 16, 2018"
J.D. Wilkes,Fire Dream,76,tbd,"Feb 16, 2018"
Cozz,Effected,76,tbd,"Feb 13, 2018"
Ezra Furman,Transangelic Exodus,85,8.2,"Feb  9, 2018"
Joan as Police Woman,Damned Devotion,81,6.3,"Feb  9, 2018"
Franz Ferdinand,Always Ascending,72,7.5,"Feb  9, 2018"
Brian Fallon,Sleepwalkers,69,8.2,"Feb  9, 2018"
Jonny Greenwood,Phantom Thread [Original Motion Picture Soundtrack],86,8.4,"Feb  9, 2018"
Jim White,"Waffles, Triangles & Jesus",80,tbd,"Feb  9, 2018"
MGMT,Little Dark Age,77,8.7,"Feb  9, 2018"
Susanna,Go Dig My Grave,74,tbd,"Feb  9, 2018"
Son Lux,Brighter Wounds,77,8.1,"Feb  9, 2018"
Legend of the Seagullmen,Legend of the Seagullmen,74,tbd,"Feb  9, 2018"
Dashboard Confessional,Crooked Shadows,57,4.2,"Feb  9, 2018"
Brigid Mae Power,The  Two Worlds,82,tbd,"Feb  9, 2018"
Alela Diane,Cusp,87,7.8,"Feb  9, 2018"
GoGo Penguin,A Humdrum Star,78,7.3,"Feb  9, 2018"
Original Soundtrack,Black Panther: The Album,80,8.1,"Feb  9, 2018"
John Tejada,Dead Start Program,73,tbd,"Feb  9, 2018"
Fu Manchu,Clone of the Universe,78,tbd,"Feb  9, 2018"
Shirt,Pure Beauty,71,tbd,"Feb  9, 2018"
Palm,Rock Island,69,tbd,"Feb  9, 2018"
Fire,The Hands,80,tbd,"Feb  9, 2018"
Various Artists,Revolutionary Spirit: The Sound of Liverpool 1976-1988 [Box Set],86,tbd,"Feb  9, 2018"
The Wombats,Beautiful People Will Ruin Your Life,71,7.7,"Feb  9, 2018"
Holy Motors,Slow Sundown,65,tbd,"Feb  9, 2018"
Kyle Craft,Full Circle Nightmare,67,7.1,"Feb  2, 2018"
Simple Minds,Walk Between Worlds,70,8.8,"Feb  2, 2018"
Steve Reich,Pulse/Quartet,80,tbd,"Feb  2, 2018"
Anna Burch,Quit the Curse,75,7.4,"Feb  2, 2018"
Rae Morris,Someone Out There,74,8.7,"Feb  2, 2018"
The James Hunter Six,Whatever It Takes,84,tbd,"Feb  2, 2018"
Field Music,Open Here,81,7.7,"Feb  2, 2018"
